#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
93,Ama_CL,多头,880536,2017/4/7 14:00,888,2017/4/20 10:30,874,1,906,2017/4/12 10:30,869,2017/4/19 10:30,1479.01,-2158.16,44.03%,5.90%,-50.07%
94,Ama_CL,多头,880380,2017/4/17 10:30,1724,2017/4/26 10:30,1820,1,1843,2017/4/20 11:30,1724,2017/4/17 10:30,11368.22,-551.68,100.00%,79.46%,79.46%
95,Ama_CL,多头,880575,2017/4/28 11:30,2200,2017/5/4 10:30,2225,1,2249,2017/5/3 10:30,2190,2017/4/28 14:00,4141.24,-1685.44,80.79%,54.17%,34.96%
96,Ama_CL,多头,880922,2017/5/2 11:30,1367,2017/5/4 14:00,1360,1,1375,2017/5/2 15:00,1330,2017/5/4 10:30,397.22,-4143.5,9.65%,62.73%,-27.61%
97,Ama_CL,多头,880456,2017/4/28 10:30,2640,2017/5/4 14:00,2760,1,2760,2017/5/4 14:00,2640,2017/4/28 10:30,11173.93,-844.8,100.00%,99.66%,99.66%
98,Ama_CL,多头,880529,2017/5/2 14:00,6065,2017/5/4 14:00,6068,1,6102,2017/5/3 10:30,5984,2017/5/4 10:30,1735.29,-10023.85,17.63%,65.70%,-16.67%
99,Ama_CL,多头,880437,2017/5/2 15:00,1235,2017/5/4 15:00,1234,1,1243,2017/5/4 14:00,1216,2017/5/4 10:30,355.6,-2251.23,16.04%,61.64%,-22.32%
100,Ama_CL,多头,880910,2017/5/3 14:00,1393,2017/5/5 10:30,1376,1,1398,2017/5/4 14:00,1376,2017/5/3 14:00,22.48,-2143.04,1.30%,-25.52%,-124.22%
101,Ama_CL,多头,880584,2017/5/2 10:30,1575,2017/5/5 14:00,1558,1,1583,2017/5/3 10:30,1549,2017/5/5 11:30,306.7,-3096.84,10.55%,13.75%,-75.70%
102,Ama_CL,多头,880594,2017/5/2 14:00,1826,2017/5/5 14:00,1846,1,1892,2017/5/4 15:00,1809,2017/5/2 15:00,6036.08,-2251.65,78.30%,40.02%,18.32%
103,Ama_CL,多头,880589,2017/4/28 15:00,1478,2017/5/8 15:00,1435,1,1501,2017/5/3 14:00,1435,2017/4/28 15:00,1842.32,-4766.08,29.96%,-7.47%,-77.51%
104,Ama_CL,多头,880835,2017/3/8 15:00,1199,2017/5/8 15:00,1248,1,1292,2017/4/26 11:30,1189,2017/3/9 11:30,8947.37,-1348.13,90.24%,55.23%,45.47%
105,Ama_CL,多头,880572,2017/5/4 15:00,1475,2017/5/8 15:00,1456,1,1475,2017/5/4 15:00,1450,2017/5/8 14:00,0,-2919.08,-23.80%,4.34%,-119.47%
106,Ama_CL,多头,880471,2017/5/12 14:00,1550,2017/5/17 14:00,1535,1,1573,2017/5/15 10:30,1532,2017/5/17 11:30,1811.3,-2248.19,50.75%,-6.61%,-55.86%
107,Ama_CL,多头,880911,2017/5/18 10:30,2010,2017/5/18 14:00,1979,1,2018,2017/5/18 11:30,1979,2017/5/18 10:30,181.48,-3738.24,5.52%,-19.27%,-113.75%
